#time,accel_x,accel_y,accel_z
909.364118,-9548.656652,0.000000,919.314598
909.364438,-9622.677246,-370.102971,1072.533697
909.364759,-9400.615463,-222.061783,1762.019645
909.365079,-9622.677246,-296.082377,1072.533697
909.365400,-9548.656652,-444.123565,1149.143247
909.365721,-9622.677246,-370.102971,766.095498
909.366041,-9474.636058,-518.144159,919.314598
909.366362,-9548.656652,-444.123565,1378.971896
909.366683,-9622.677246,-592.164754,919.314598
909.367003,-9474.636058,-296.082377,1149.143247
909.367324,-9474.636058,-518.144159,1072.533697
909.367645,-9474.636058,0.000000,1838.629195
909.367965,-9548.656652,0.000000,995.924147
909.368286,-9548.656652,-296.082377,995.924147
909.368606,-9474.636058,-518.144159,995.924147
909.368927,-9548.656652,0.000000,766.095498
909.369248,-9474.636058,-888.247130,612.876398
909.369568,-9326.594869,-370.102971,689.485948
909.369889,-9770.718434,-740.205942,612.876398
909.370210,-9474.636058,-148.041188,995.924147
909.370530,-9474.636058,-592.164754,306.438199
909.370851,-9622.677246,-370.102971,1149.143247
909.371172,-9622.677246,-814.226536,1072.533697
909.371492,-9622.677246,-592.164754,1225.752797
909.371813,-9400.615463,-222.061783,1685.410096
909.372133,-9400.615463,-592.164754,689.485948
909.372454,-9474.636058,-148.041188,995.924147
909.372775,-9770.718434,-370.102971,995.924147
909.373095,-9474.636058,-592.164754,995.924147
909.373416,-9474.636058,-1110.308913,612.876398
909.373737,-9326.594869,-1258.350101,229.828649
909.374057,-9622.677246,-740.205942,536.266849
909.374378,-9770.718434,-814.226536,689.485948
909.374699,-9770.718434,-1258.350101,766.095498
909.375019,-9844.739029,-1110.308913,0.000000
909.375340,-9770.718434,-888.247130,0.000000
909.375660,-9770.718434,-740.205942,0.000000
909.375981,-9770.718434,-962.267725,459.657299
909.376302,-9548.656652,-962.267725,-536.266849
909.376622,-9474.636058,-1184.329507,-1149.143247
909.376943,-9474.636058,-1924.535449,-842.705048
909.377264,-9178.553681,-2368.659014,-1302.362347
909.377584,-9030.512492,-2664.741391,-995.924147
909.377905,-9030.512492,-2960.823768,-1762.019645
909.378226,-9252.574275,-2516.700203,-2451.505594
909.378546,-9474.636058,-2368.659014,-2528.115143
909.378867,-9622.677246,-2220.617826,-3064.381992
909.379187,-9622.677246,-2590.720797,-3140.991542
909.379508,-9622.677246,-2960.823768,-3830.477490
909.379829,-9622.677246,-3404.947333,-3753.867940
909.380149,-9548.656652,-3849.070898,-4749.792088
909.380470,-9918.759623,-3849.070898,-3677.258390
909.380791,-9548.656652,-3775.050304,-3294.210641
909.381111,-9548.656652,-3923.091493,-2987.772442
909.381432,-9622.677246,-4293.194464,-2604.724693
909.381753,-9326.594869,-4959.379811,-2681.334243
909.382073,-9400.615463,-5033.400406,-2451.505594
909.382394,-9474.636058,-4811.338623,-2528.115143
909.382714,-9474.636058,-4293.194464,-2298.286494
909.383035,-9178.553681,-4663.297435,-2987.772442
909.383356,-9474.636058,-3552.988522,-2221.676944
909.383676,-9474.636058,-3404.947333,-2451.505594
909.383997,-9622.677246,-3552.988522,-2757.943793
909.384318,-9548.656652,-2886.803174,-612.876398
909.384638,-9918.759623,-3182.885551,-1991.848295
909.384959,-9992.780217,-3552.988522,-1225.752797
909.385280,-10066.800811,-3330.926739,-689.485948
909.385600,-10140.821405,-3330.926739,76.609550
909.385921,-10140.821405,-2664.741391,1225.752797
909.386241,-10658.965565,-3108.864956,1685.410096
909.386562,-9918.759623,-3108.864956,1608.800546
909.386883,-9548.656652,-3108.864956,1378.971896
909.387203,-9918.759623,-2368.659014,689.485948
909.387524,-9178.553681,-3108.864956,76.609550
