#time,accel_x,accel_y,accel_z
550.331419,-9474.636058,-296.082377,1378.971896
550.331740,-9474.636058,-592.164754,1072.533697
550.332060,-9474.636058,-296.082377,919.314598
550.332381,-9548.656652,-370.102971,919.314598
550.332702,-9548.656652,-444.123565,689.485948
550.333022,-9770.718434,0.000000,1685.410096
550.333343,-9622.677246,-148.041188,1225.752797
550.333664,-9622.677246,-518.144159,919.314598
550.333984,-9844.739029,-296.082377,1072.533697
550.334305,-9548.656652,148.041188,2834.553343
550.334626,-9696.697840,-148.041188,995.924147
550.334946,-9622.677246,-370.102971,995.924147
550.335267,-9622.677246,-370.102971,1072.533697
550.335588,-9696.697840,-296.082377,1225.752797
550.335908,-9474.636058,-444.123565,1378.971896
550.336229,-9474.636058,-74.020594,1225.752797
550.336549,-9696.697840,-222.061783,1072.533697
550.336870,-9474.636058,-518.144159,1149.143247
550.337191,-9622.677246,0.000000,1838.629195
550.337511,-9622.677246,-370.102971,1302.362347
550.337832,-9474.636058,-296.082377,919.314598
550.338153,-9622.677246,-222.061783,1149.143247
550.338473,-9918.759623,148.041188,3064.381992
550.338794,-9622.677246,-296.082377,1225.752797
550.339115,-9770.718434,-296.082377,1149.143247
550.339435,-9622.677246,-370.102971,919.314598
550.339756,-9474.636058,-444.123565,995.924147
550.340077,-9474.636058,-370.102971,919.314598
550.340397,-9622.677246,-296.082377,919.314598
550.340718,-9548.656652,-296.082377,1072.533697
550.341039,-9696.697840,-222.061783,1225.752797
550.341359,-9622.677246,-370.102971,459.657299
550.341680,-9548.656652,-444.123565,995.924147
550.342000,-9622.677246,-444.123565,919.314598
550.342321,-9548.656652,-370.102971,1149.143247
550.342642,-10807.006753,-370.102971,1608.800546
550.342962,-9622.677246,-444.123565,1149.143247
550.343283,-9474.636058,-370.102971,1072.533697
550.343604,-9770.718434,-370.102971,1225.752797
550.343924,-9622.677246,-148.041188,1072.533697
550.344245,-9400.615463,-370.102971,1225.752797
550.344566,-9622.677246,-444.123565,1149.143247
550.344886,-9474.636058,-444.123565,1149.143247
550.345207,-9548.656652,-444.123565,1149.143247
550.345528,-9770.718434,0.000000,1225.752797
550.345848,-9474.636058,-370.102971,1149.143247
550.346169,-9770.718434,-222.061783,995.924147
550.346490,-9474.636058,-444.123565,995.924147
550.346810,-8956.491898,-148.041188,1838.629195
550.347131,-9696.697840,-148.041188,1455.581446
550.347451,-9696.697840,-222.061783,1149.143247
550.347772,-9474.636058,-370.102971,1072.533697
550.348093,-9622.677246,-370.102971,842.705048
550.348413,-9548.656652,-296.082377,1225.752797
550.348734,-9696.697840,-296.082377,919.314598
