freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.004e+01,1.345e+01,4.533e+02,4.868e+02
1.5,7.175e+01,3.830e+01,3.202e+02,4.303e+02
3.0,7.466e+01,4.168e+01,8.848e+01,2.048e+02
4.6,6.582e+01,4.335e+01,3.599e+02,4.691e+02
6.1,7.717e+01,4.045e+01,1.253e+03,1.371e+03
7.6,7.866e+01,4.533e+01,2.086e+03,2.210e+03
9.1,7.762e+01,4.531e+01,2.936e+03,3.059e+03
10.6,8.682e+01,4.881e+01,3.976e+03,4.112e+03
12.2,1.350e+02,6.753e+01,5.181e+03,5.384e+03
13.7,9.966e+01,5.343e+01,6.511e+03,6.664e+03
15.2,9.430e+01,4.113e+01,7.970e+03,8.105e+03
16.7,1.011e+02,4.678e+01,9.965e+03,1.011e+04
18.2,9.078e+01,5.826e+01,1.201e+04,1.216e+04
19.8,7.802e+01,5.646e+01,1.420e+04,1.433e+04
21.3,7.433e+01,5.089e+01,1.647e+04,1.659e+04
22.8,6.999e+01,4.640e+01,1.855e+04,1.866e+04
24.3,6.994e+01,3.999e+01,2.183e+04,2.194e+04
25.8,8.189e+01,4.062e+01,2.571e+04,2.583e+04
27.4,7.325e+01,4.167e+01,3.031e+04,3.043e+04
28.9,7.496e+01,4.870e+01,3.533e+04,3.545e+04
30.4,7.905e+01,5.392e+01,3.786e+04,3.800e+04
31.9,9.317e+01,5.726e+01,4.174e+04,4.189e+04
33.4,1.098e+02,7.010e+01,4.971e+04,4.989e+04
35.0,1.235e+02,8.461e+01,5.884e+04,5.905e+04
36.5,1.162e+02,9.025e+01,6.798e+04,6.818e+04
38.0,1.177e+02,9.458e+01,8.047e+04,8.069e+04
39.5,8.984e+01,9.923e+01,9.316e+04,9.335e+04
41.0,9.302e+01,1.280e+02,1.124e+05,1.126e+05
42.6,1.087e+02,1.631e+02,1.386e+05,1.389e+05
44.1,1.921e+02,2.364e+02,1.651e+05,1.655e+05
45.6,4.450e+02,5.227e+02,2.027e+05,2.037e+05
47.1,8.354e+02,9.748e+02,2.584e+05,2.602e+05
48.6,1.084e+03,1.321e+03,3.089e+05,3.113e+05
50.2,1.064e+03,1.618e+03,3.320e+05,3.346e+05
51.7,1.271e+03,2.306e+03,3.871e+05,3.907e+05
53.2,2.153e+03,3.403e+03,4.777e+05,4.832e+05
54.7,4.595e+03,4.312e+03,6.026e+05,6.116e+05
56.2,5.142e+03,4.346e+03,7.005e+05,7.100e+05
57.7,7.056e+03,5.202e+03,8.204e+05,8.326e+05
59.3,1.013e+04,6.881e+03,1.142e+06,1.159e+06
60.8,1.008e+04,1.024e+04,1.585e+06,1.605e+06
62.3,8.221e+03,1.426e+04,1.800e+06,1.822e+06
63.8,7.293e+03,1.751e+04,1.789e+06,1.814e+06
65.3,6.871e+03,1.836e+04,1.573e+06,1.598e+06
66.9,5.734e+03,1.680e+04,1.165e+06,1.188e+06
68.4,5.542e+03,1.591e+04,8.194e+05,8.409e+05
69.9,6.135e+03,1.682e+04,6.238e+05,6.467e+05
71.4,7.039e+03,1.784e+04,4.786e+05,5.034e+05
72.9,8.601e+03,1.877e+04,3.600e+05,3.874e+05
74.5,9.413e+03,1.881e+04,2.627e+05,2.909e+05
76.0,9.941e+03,1.879e+04,1.907e+05,2.195e+05
77.5,9.300e+03,1.715e+04,1.453e+05,1.718e+05
79.0,8.414e+03,1.462e+04,1.159e+05,1.389e+05
80.5,7.897e+03,1.314e+04,8.898e+04,1.100e+05
82.1,7.064e+03,1.196e+04,6.503e+04,8.406e+04
83.6,6.057e+03,1.071e+04,5.239e+04,6.916e+04
85.1,5.393e+03,8.664e+03,5.018e+04,6.423e+04
86.6,5.395e+03,7.011e+03,4.829e+04,6.070e+04
88.1,4.982e+03,5.655e+03,3.971e+04,5.035e+04
89.7,4.499e+03,5.039e+03,3.160e+04,4.114e+04
91.2,4.609e+03,5.407e+03,2.611e+04,3.613e+04
92.7,5.316e+03,6.375e+03,1.973e+04,3.142e+04
94.2,6.382e+03,6.982e+03,1.692e+04,3.028e+04
95.7,5.488e+03,5.067e+03,2.127e+04,3.182e+04
97.3,2.875e+03,2.491e+03,3.342e+04,3.878e+04
98.8,8.146e+03,1.292e+03,4.065e+04,5.009e+04
100.3,1.727e+04,1.252e+03,4.456e+04,6.308e+04
101.8,3.446e+03,1.060e+03,3.678e+04,4.129e+04
103.3,1.617e+03,1.220e+03,3.467e+04,3.750e+04
104.9,1.262e+03,9.151e+02,3.350e+04,3.568e+04
106.4,7.340e+02,7.594e+02,3.292e+04,3.441e+04
107.9,5.439e+02,9.696e+02,3.425e+04,3.576e+04
109.4,9.516e+02,1.076e+03,3.365e+04,3.568e+04
110.9,2.967e+03,2.624e+03,2.814e+04,3.373e+04
112.5,8.593e+03,7.201e+03,1.694e+04,3.274e+04
114.0,1.723e+04,1.371e+04,8.412e+03,3.936e+04
115.5,2.296e+04,1.681e+04,6.276e+03,4.605e+04
117.0,2.312e+04,1.737e+04,6.221e+03,4.670e+04
118.5,2.255e+04,1.858e+04,6.534e+03,4.766e+04
120.1,2.459e+04,2.097e+04,7.629e+03,5.319e+04
121.6,2.685e+04,2.234e+04,9.664e+03,5.885e+04
123.1,2.762e+04,2.243e+04,1.142e+04,6.146e+04
124.6,2.734e+04,2.273e+04,1.303e+04,6.310e+04
126.1,2.779e+04,2.403e+04,1.474e+04,6.656e+04
127.7,2.786e+04,2.437e+04,1.651e+04,6.873e+04
129.2,2.616e+04,2.225e+04,1.670e+04,6.511e+04
130.7,2.473e+04,1.979e+04,1.740e+04,6.192e+04
132.2,2.118e+04,1.599e+04,1.644e+04,5.361e+04
133.7,8.020e+03,5.796e+03,7.124e+03,2.094e+04
135.3,2.390e+03,1.679e+03,2.816e+03,6.885e+03
136.8,2.187e+03,1.526e+03,2.308e+03,6.021e+03
138.3,2.176e+03,1.513e+03,1.700e+03,5.389e+03
139.8,1.643e+04,6.873e+03,2.063e+03,2.536e+04
141.3,2.248e+04,9.307e+03,2.687e+03,3.448e+04
142.9,3.409e+03,2.630e+03,2.444e+03,8.483e+03
144.4,2.177e+03,2.480e+03,3.015e+03,7.673e+03
145.9,2.388e+03,2.726e+03,3.319e+03,8.433e+03
147.4,2.673e+03,3.072e+03,3.660e+03,9.405e+03
148.9,3.170e+03,3.906e+03,3.796e+03,1.087e+04
150.5,3.871e+03,4.867e+03,4.395e+03,1.313e+04
152.0,4.679e+03,5.551e+03,6.152e+03,1.638e+04
153.5,5.167e+03,4.951e+03,6.621e+03,1.674e+04
155.0,4.515e+03,3.985e+03,5.118e+03,1.362e+04
156.5,3.459e+03,3.254e+03,3.794e+03,1.051e+04
158.0,2.134e+03,2.198e+03,3.026e+03,7.358e+03
159.6,1.806e+03,2.213e+03,2.993e+03,7.012e+03
161.1,2.113e+03,2.442e+03,3.874e+03,8.429e+03
162.6,2.938e+03,2.885e+03,5.883e+03,1.171e+04
164.1,4.090e+03,3.655e+03,8.117e+03,1.586e+04
165.6,6.196e+03,4.643e+03,1.251e+04,2.335e+04
167.2,9.859e+03,6.798e+03,2.115e+04,3.781e+04
168.7,1.262e+04,8.991e+03,2.599e+04,4.760e+04
170.2,1.509e+04,1.072e+04,2.907e+04,5.489e+04
171.7,1.887e+04,1.323e+04,3.297e+04,6.508e+04
173.2,2.012e+04,1.388e+04,3.177e+04,6.576e+04
