freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.770e+01,6.434e+01,1.667e+01,1.187e+02
1.5,3.739e+01,5.616e+01,7.086e+01,1.644e+02
3.0,2.320e+01,3.268e+01,7.916e+01,1.350e+02
4.6,2.416e+01,2.671e+02,7.149e+01,3.628e+02
6.1,2.382e+01,9.892e+02,7.205e+01,1.085e+03
7.6,2.475e+01,1.580e+03,7.255e+01,1.678e+03
9.1,2.495e+01,2.170e+03,7.457e+01,2.269e+03
10.6,4.516e+01,2.902e+03,8.170e+01,3.029e+03
12.2,5.088e+01,3.851e+03,8.558e+01,3.988e+03
13.7,2.843e+01,4.908e+03,9.831e+01,5.035e+03
15.2,2.508e+01,6.242e+03,1.153e+02,6.383e+03
16.7,2.406e+01,6.759e+03,1.075e+02,6.890e+03
18.2,2.482e+01,5.900e+03,9.907e+01,6.024e+03
19.8,2.710e+01,5.535e+03,1.076e+02,5.669e+03
21.3,3.233e+01,5.216e+03,1.537e+02,5.402e+03
22.8,4.001e+01,5.369e+03,1.805e+02,5.590e+03
24.3,5.341e+01,6.225e+03,1.828e+02,6.461e+03
25.8,7.106e+01,7.346e+03,1.969e+02,7.614e+03
27.3,9.866e+01,8.383e+03,2.026e+02,8.684e+03
28.9,1.197e+02,8.718e+03,2.531e+02,9.091e+03
30.4,1.309e+02,8.636e+03,3.415e+02,9.108e+03
31.9,1.390e+02,8.989e+03,3.917e+02,9.520e+03
33.4,1.434e+02,9.748e+03,4.432e+02,1.033e+04
34.9,1.359e+02,1.105e+04,5.109e+02,1.170e+04
36.5,1.440e+02,1.264e+04,6.386e+02,1.342e+04
38.0,1.437e+02,1.486e+04,8.581e+02,1.586e+04
39.5,1.427e+02,1.749e+04,1.129e+03,1.876e+04
41.0,1.414e+02,2.172e+04,1.329e+03,2.319e+04
42.5,1.881e+02,2.871e+04,1.526e+03,3.043e+04
44.1,6.172e+02,3.723e+04,1.769e+03,3.961e+04
45.6,3.284e+03,5.839e+04,1.811e+03,6.348e+04
47.1,1.103e+04,1.026e+05,1.970e+03,1.155e+05
48.6,2.091e+04,1.224e+05,2.774e+03,1.461e+05
50.1,3.338e+04,1.200e+05,3.467e+03,1.568e+05
51.7,5.075e+04,1.091e+05,3.384e+03,1.632e+05
53.2,6.434e+04,7.481e+04,3.794e+03,1.429e+05
54.7,8.455e+04,4.397e+04,3.553e+03,1.321e+05
56.2,9.837e+04,2.417e+04,1.997e+03,1.245e+05
57.7,9.953e+04,1.323e+04,6.808e+02,1.134e+05
59.3,9.294e+04,1.103e+04,3.942e+02,1.044e+05
60.8,9.364e+04,1.514e+04,4.105e+02,1.092e+05
62.3,1.030e+05,2.344e+04,6.456e+02,1.271e+05
63.8,1.110e+05,3.304e+04,1.118e+03,1.451e+05
65.3,1.255e+05,5.019e+04,1.886e+03,1.776e+05
66.9,1.428e+05,7.444e+04,2.782e+03,2.200e+05
68.4,1.474e+05,8.793e+04,2.867e+03,2.382e+05
69.9,1.400e+05,8.872e+04,2.099e+03,2.308e+05
71.4,1.174e+05,7.862e+04,1.419e+03,1.974e+05
72.9,8.645e+04,6.367e+04,1.037e+03,1.512e+05
74.4,5.763e+04,4.707e+04,1.045e+03,1.058e+05
76.0,4.332e+04,4.001e+04,1.094e+03,8.442e+04
77.5,3.641e+04,3.907e+04,9.354e+02,7.641e+04
79.0,3.398e+04,4.201e+04,8.356e+02,7.683e+04
80.5,3.155e+04,4.236e+04,6.533e+02,7.456e+04
82.0,2.844e+04,3.944e+04,4.730e+02,6.835e+04
83.6,2.516e+04,3.631e+04,7.008e+02,6.217e+04
85.1,2.212e+04,3.227e+04,1.022e+03,5.541e+04
86.6,1.980e+04,2.885e+04,1.003e+03,4.966e+04
88.1,1.791e+04,2.592e+04,6.613e+02,4.449e+04
89.6,1.628e+04,2.338e+04,3.520e+02,4.001e+04
91.2,1.464e+04,2.184e+04,3.106e+02,3.679e+04
92.7,1.315e+04,2.133e+04,3.452e+02,3.483e+04
94.2,1.127e+04,2.116e+04,4.601e+02,3.289e+04
95.7,9.829e+03,2.198e+04,6.292e+02,3.244e+04
97.2,8.367e+03,2.395e+04,8.094e+02,3.313e+04
98.8,1.226e+04,2.672e+04,3.682e+03,4.266e+04
100.3,2.054e+04,3.225e+04,8.733e+03,6.153e+04
101.8,6.587e+03,3.248e+04,4.822e+03,4.389e+04
103.3,4.525e+03,4.088e+04,5.122e+03,5.053e+04
104.8,3.649e+03,4.624e+04,5.103e+03,5.499e+04
106.4,2.701e+03,5.216e+04,4.504e+03,5.937e+04
107.9,2.165e+03,5.615e+04,3.322e+03,6.164e+04
109.4,1.424e+03,5.340e+04,1.972e+03,5.679e+04
110.9,1.004e+03,4.953e+04,1.606e+03,5.214e+04
112.4,8.072e+02,4.694e+04,1.499e+03,4.925e+04
113.9,9.296e+02,5.340e+04,1.483e+03,5.582e+04
115.5,1.274e+03,5.296e+04,1.131e+03,5.537e+04
117.0,1.446e+03,4.666e+04,7.619e+02,4.887e+04
118.5,1.718e+03,4.123e+04,1.118e+03,4.406e+04
120.0,2.361e+03,3.864e+04,1.663e+03,4.267e+04
121.5,2.927e+03,3.950e+04,1.311e+03,4.374e+04
123.1,3.032e+03,4.054e+04,7.299e+02,4.430e+04
124.6,3.078e+03,4.234e+04,6.184e+02,4.604e+04
126.1,3.104e+03,4.582e+04,6.159e+02,4.954e+04
127.6,3.043e+03,4.970e+04,5.916e+02,5.334e+04
129.1,3.020e+03,5.274e+04,5.702e+02,5.633e+04
130.7,3.028e+03,5.493e+04,6.595e+02,5.862e+04
132.2,2.698e+03,4.992e+04,7.538e+02,5.338e+04
133.7,9.873e+02,1.777e+04,7.257e+02,1.948e+04
135.2,2.773e+02,3.286e+03,7.004e+02,4.264e+03
136.7,2.986e+02,3.117e+03,8.296e+02,4.246e+03
138.3,5.244e+02,4.296e+03,1.149e+03,5.970e+03
139.8,7.914e+03,1.023e+04,5.571e+03,2.371e+04
141.3,1.064e+04,1.213e+04,7.152e+03,2.992e+04
142.8,1.139e+03,6.703e+03,1.863e+03,9.704e+03
144.3,4.379e+02,5.473e+03,1.427e+03,7.338e+03
145.9,4.544e+02,5.208e+03,1.333e+03,6.996e+03
147.4,4.361e+02,5.175e+03,1.071e+03,6.682e+03
148.9,3.904e+02,4.755e+03,9.864e+02,6.132e+03
150.4,3.696e+02,4.470e+03,1.103e+03,5.943e+03
151.9,3.564e+02,4.714e+03,1.360e+03,6.430e+03
153.5,3.790e+02,5.480e+03,1.478e+03,7.337e+03
155.0,3.491e+02,6.034e+03,1.630e+03,8.013e+03
156.5,3.206e+02,6.539e+03,1.848e+03,8.708e+03
158.0,3.046e+02,6.900e+03,2.304e+03,9.509e+03
159.5,3.310e+02,6.872e+03,2.609e+03,9.812e+03
161.0,4.169e+02,6.726e+03,2.944e+03,1.009e+04
162.6,5.744e+02,6.417e+03,3.589e+03,1.058e+04
164.1,7.547e+02,5.658e+03,4.496e+03,1.091e+04
165.6,9.073e+02,4.660e+03,5.131e+03,1.070e+04
167.1,9.746e+02,3.701e+03,5.185e+03,9.861e+03
168.6,1.065e+03,3.034e+03,5.153e+03,9.252e+03
170.2,1.064e+03,2.563e+03,4.917e+03,8.544e+03
171.7,8.335e+02,2.500e+03,4.148e+03,7.482e+03
173.2,5.680e+02,2.224e+03,3.121e+03,5.913e+03
174.7,3.812e+02,1.728e+03,2.154e+03,4.263e+03
176.2,2.702e+02,1.490e+03,1.414e+03,3.174e+03
177.8,2.267e+02,1.319e+03,9.744e+02,2.520e+03
179.3,2.180e+02,1.232e+03,7.064e+02,2.157e+03
180.8,2.078e+02,1.128e+03,5.285e+02,1.864e+03
182.3,2.183e+02,1.012e+03,5.214e+02,1.751e+03
183.8,2.244e+02,9.335e+02,4.927e+02,1.651e+03
185.4,2.411e+02,8.647e+02,4.953e+02,1.601e+03
186.9,2.508e+02,8.498e+02,5.521e+02,1.653e+03
188.4,2.787e+02,8.901e+02,7.422e+02,1.911e+03
189.9,3.260e+02,9.120e+02,1.025e+03,2.263e+03
191.4,3.908e+02,9.270e+02,1.293e+03,2.610e+03
193.0,5.107e+02,9.274e+02,1.620e+03,3.058e+03
194.5,6.206e+02,1.011e+03,1.821e+03,3.452e+03
196.0,7.715e+02,1.228e+03,2.123e+03,4.122e+03
197.5,1.001e+03,1.663e+03,2.568e+03,5.232e+03
199.0,1.606e+03,2.944e+03,3.848e+03,8.398e+03
